index,Commune,NPA,Commune d'annonce / District,full_demand_thu,distance_to_venoge_km
45,Epalinges,1066,Epalinges,19.0,16.67
46,Lausanne,1005,Lausanne,80.0,17.01
47,Echichens,1112,Echichens,58.0,17.17
48,Tolochenaz,1131,Tolochenaz,31.0,17.27
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,40.0,17.3
50,Corcelles-sur-Chavornay,1374,Chavornay,4.0,17.33
52,Lully VD,1132,Lully (VD),32.0,17.89
54,Peyres-Possens,1063,Montanaire,12.0,19.11
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,28.0,19.46
56,Villars-Tiercelin,1058,Jorat-Menthue,28.0,19.53
57,Villars-Mendraz,1061,Jorat-Menthue,4.0,19.67
58,Denens,1135,Denens,17.0,19.82
59,Mollens VD,1146,Mollens (VD),8.0,20.11
60,La Croix (Lutry),1090,Lutry,11.0,20.14
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,9.0,20.15
62,Montricher,1147,Montricher,10.0,20.65
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,19.0,20.98
64,Peney-le-Jorat,1059,Jorat-Menthue,6.0,21.03
65,Vuarrens,1418,Vuarrens,38.0,21.27
66,Agiez,1352,Agiez,2.0,21.45
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,10.0,21.77
68,Villars-sous-Yens,1168,Villars-sous-Yens,15.0,22.24
69,Ogens,1045,Ogens,12.0,22.24
72,Ropraz,1088,Ropraz,9.0,22.89
73,Savigny,1073,Savigny,35.0,23.12
74,Berolle,1149,Bière,11.0,23.38
75,Lavigny,1175,Lavigny,13.0,23.76
76,Montpreveyres,1081,Montpreveyres,9.0,23.78
77,Pailly,1416,Pailly,16.0,23.93
78,Ursins,1412,Ursins,23.0,24.22
79,Montcherand,1354,Montcherand,2.0,24.57
80,Mathod,1438,Mathod,6.0,24.82
81,Sergey,1355,Sergey,1.0,24.83
82,Rances,1439,Rances,4.0,25.11
83,Orzens,1413,Orzens,17.0,25.18
84,Aubonne,1170,Aubonne,41.0,25.22
85,Vaulion,1325,Vaulion,11.0,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),19.0,25.82
87,Buchillon,1164,Buchillon,10.0,26.28
88,Féchy,1173,Féchy,6.0,26.33
89,Oppens,1047,Oppens,8.0,26.4
90,Chexbres,1071,Chexbres,20.0,26.4
91,Rueyres,1046,Rueyres,9.0,26.51
93,Gossens,1407,Donneloye,30.0,26.73
