"sat_tickets"
292.0
191.0
33.0
70.0
38.0
28.0
4273.0
13.0
49.0
64.0
15.0
420.0
15.0
28.0
81.0
7.0
31.0
60.0
10.0
9.0
65.0
37.0
21.0
76.0
12.0
2.0
7.0
84.0
40.0
25.0
""
""
7.0
166.0
90.0
103.0
65.0
131.0
190.0
68.0
220.0
48.0
174.0
71.0
114.0
85.0
89.0
23.0
16.0
31.0
7.0
""
6.0
2.0
12.0
9.0
6.0
2.0
""
4.0
7.0
""
23.0
9.0
""
11.0
13.0
7.0
6.0
11.0
""
""
""
42.0
6.0
4.0
10.0
13.0
7.0
7.0
""
3.0
4.0
""
23.0
11.0
29.0
3.0
2.0
""
26.0
1.0
1.0
3.0
11.0
2.0
9.0
11.0
10.0
""
3.0
7.0
4.0
""
12.0
2.0
12.0
3.0
2.0
19.0
12.0
15.0
2.0
2.0
8.0
11.0
4.0
""
8.0
10.0
3.0
""
11.0
19.0
4.0
20.0
7.0
3.0
13.0
""
6.0
1.0
10.0
7.0
""
21.0
6.0
""
""
15.0
1.0
6.0
6.0
3.0
8.0
""
4.0
""
8.0
""
8.0
""
1.0
4.0
63.0
6.0
10.0
16.0
2.0
6.0
13.0
31.0
7.0
22.0
4.0
13.0
8.0
17.0
""
""
""
22.0
10.0
20.0
8.0
3.0
9.0
17.0
""
""
6.0
2.0
6.0
3.0
8.0
2.0
""
""
13.0
2.0
""
4.0
11.0
1.0
10.0
""
12.0
4.0
3.0
10.0
7.0
9.0
2.0
18.0
""
2.0
2.0
10.0
""
""
17.0
""
12.0
""
""
2.0
11.0
3.0
20.0
""
6.0
13.0
""
""
7.0
1.0
11.0
4.0
""
""
1.0
""
6.0
8.0
""
""
""
6.0
2.0
