index,Commune,NPA,Commune d'annonce / District,wed_tickets
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,98.0
29,Ferreyres,1313,Ferreyres,20.0
30,Vaux-sur-Morges,1126,Vaux-sur-Morges,2.0
31,Clarmont,1127,Clarmont,1.0
32,Monnaz,1125,Echichens,4.0
33,Lausanne,1007,Lausanne,100.0
33,Lausanne,1007,Lausanne,33.0
34,Lausanne,1018,Lausanne,100.0
34,Lausanne,1018,Lausanne,65.0
35,Poliez-le-Grand,1041,Montilliez,100.0
35,Poliez-le-Grand,1041,Montilliez,19.0
36,St-Sulpice VD,1025,Saint-Sulpice (VD),48.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,100.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,48.0
38,Lausanne,1004,Lausanne,100.0
38,Lausanne,1004,Lausanne,100.0
38,Lausanne,1004,Lausanne,71.0
39,Lausanne,1003,Lausanne,41.0
40,Apples,1143,Hautemorges,100.0
40,Apples,1143,Hautemorges,72.0
41,Froideville,1055,Froideville,50.0
42,Lausanne,1006,Lausanne,100.0
42,Lausanne,1006,Lausanne,37.0
43,Lausanne,1010,Lausanne,100.0
43,Lausanne,1010,Lausanne,8.0
44,Lausanne,1012,Lausanne,83.0
45,Epalinges,1066,Epalinges,100.0
45,Epalinges,1066,Epalinges,3.0
46,Lausanne,1005,Lausanne,51.0
47,Echichens,1112,Echichens,31.0
48,Tolochenaz,1131,Tolochenaz,37.0
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,8.0
50,Corcelles-sur-Chavornay,1374,Chavornay,12.0
51,Essert-Pittet,1435,Chavornay,3.0
52,Lully VD,1132,Lully (VD),11.0
53,Les Monts-de-Pully,1068,Pully,2.0
54,Peyres-Possens,1063,Montanaire,19.0
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,20.0
56,Villars-Tiercelin,1058,Jorat-Menthue,13.0
57,Villars-Mendraz,1061,Jorat-Menthue,7.0
58,Denens,1135,Denens,6.0
60,La Croix (Lutry),1090,Lutry,17.0
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,2.0
62,Montricher,1147,Montricher,17.0
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,18.0
64,Peney-le-Jorat,1059,Jorat-Menthue,3.0
65,Vuarrens,1418,Vuarrens,28.0
66,Agiez,1352,Agiez,12.0
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,11.0
68,Villars-sous-Yens,1168,Villars-sous-Yens,4.0
69,Ogens,1045,Ogens,2.0
70,Hermenches,1513,Hermenches,1.0
71,Sottens,1062,Jorat-Menthue,7.0
72,Ropraz,1088,Ropraz,2.0
73,Savigny,1073,Savigny,67.0
74,Berolle,1149,Bière,3.0
75,Lavigny,1175,Lavigny,16.0
76,Montpreveyres,1081,Montpreveyres,9.0
77,Pailly,1416,Pailly,16.0
78,Ursins,1412,Ursins,9.0
79,Montcherand,1354,Montcherand,8.0
80,Mathod,1438,Mathod,8.0
82,Rances,1439,Rances,1.0
83,Orzens,1413,Orzens,7.0
84,Aubonne,1170,Aubonne,26.0
85,Vaulion,1325,Vaulion,6.0
86,Forel (Lavaux),1072,Forel (Lavaux),42.0
88,Féchy,1173,Féchy,7.0
89,Oppens,1047,Oppens,3.0
90,Chexbres,1071,Chexbres,15.0
92,Suscévaz,1437,Suscévaz,4.0
93,Gossens,1407,Donneloye,9.0
94,Moudon,1510,Moudon,74.0
95,Vucherens,1509,Vucherens,6.0
96,Champvent,1443,Champvent,11.0
97,Les Cullayes,1080,Forel (Lavaux),15.0
98,Perroy,1166,Féchy,15.0
99,Le Pont,1342,L'Abbaye,9.0
100,Chanéaz,1409,Montanaire,2.0
101,Neyruz-sur-Moudon,1515,Montanaire,2.0
102,Essertes,1078,Oron,2.0
103,L'Abbaye,1344,L'Abbaye,4.0
104,Puidoux,1070,Puidoux,21.0
105,Montherod,1174,Aubonne,15.0
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,27.0
107,Cuarny,1404,Cuarny,2.0
108,Bougy-Villars,1172,Bougy-Villars,1.0
109,Servion,1077,Servion,27.0
110,Mézières VD,1083,Jorat-Mézières,10.0
111,Les Tavernes,1607,Oron,15.0
112,St-Livres,1176,Saint-Livres,4.0
113,Le Séchey,1345,Le Lieu,1.0
114,Cronay,1406,Cronay,7.0
115,Châtillens,1610,Oron,29.0
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,7.0
117,Chavannes-sur-Moudon,1512,Chavannes-sur-Moudon,4.0
118,Baulmes,1446,Baulmes,16.0
119,Corseaux,1802,Corseaux,23.0
120,Chardonne,1803,Chardonne,8.0
121,Les Charbonnières,1343,Le Lieu,7.0
122,Jongny,1805,Corsier-sur-Vevey,11.0
123,Corsier-sur-Vevey,1804,Jongny,17.0
124,Bursins,1183,Gilly,9.0
