"thu_tickets"
240.0
180.0
18.0
56.0
54.0
38.0
2453.0
""
48.0
""
""
494.0
""
21.0
93.0
""
""
80.0
20.0
37.0
73.0
23.0
""
99.0
""
""
""
""
46.0
7.0
""
""
""
82.0
100.0
82.0
54.0
""
132.0
28.0
""
72.0
95.0
84.0
65.0
107.0
""
52.0
28.0
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
37.0
10.0
""
""
""
""
""
""
""
""
16.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
11.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
65.0
""
""
""
""
""
""
43.0
""
""
""
20.0
""
""
""
""
""
""
""
""
12.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
