index,Commune,NPA,Commune d'annonce / District,full_demand_wed,distance_to_venoge_km
12,Bremblens,1121,Bremblens,13.0,8.46
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,38.0,8.48
14,Crissier,1023,Crissier,100.0,8.59
14,Crissier,1023,Crissier,100.0,8.59
14,Crissier,1023,Crissier,23.0,8.59
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),3.0,8.88
16,Grancy,1117,Grancy,10.0,9.16
17,Romanel-sur-Lausanne,1032,Lausanne,77.0,9.17
18,Vullierens,1115,Vullierens,17.0,9.23
19,Chevilly,1316,Chevilly,11.0,9.38
20,Echandens,1026,Echandens,65.0,9.7
21,Morrens VD,1054,Morrens (VD),31.0,9.71
22,Eclagnens,1376,Goumoëns,39.0,10.34
23,Ecublens VD,1024,Ecublens (VD),100.0,10.6
23,Ecublens VD,1024,Ecublens (VD),47.0,10.6
24,St-Saphorin-sur-Morges,1113,Echichens,16.0,10.75
25,Colombier VD,1114,Echichens,4.0,10.88
26,Cottens VD,1116,Hautemorges,6.0,11.29
27,Cugy VD,1053,Cugy (VD),78.0,11.3
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,98.0,11.43
29,Ferreyres,1313,Ferreyres,20.0,12.65
30,Vaux-sur-Morges,1126,Vaux-sur-Morges,2.0,12.96
31,Clarmont,1127,Clarmont,1.0,13.14
32,Monnaz,1125,Echichens,4.0,13.26
33,Lausanne,1007,Lausanne,100.0,13.51
33,Lausanne,1007,Lausanne,33.0,13.51
34,Lausanne,1018,Lausanne,100.0,13.64
34,Lausanne,1018,Lausanne,65.0,13.64
35,Poliez-le-Grand,1041,Montilliez,100.0,13.9
35,Poliez-le-Grand,1041,Montilliez,19.0,13.9
36,St-Sulpice VD,1025,Saint-Sulpice (VD),48.0,14.13
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,100.0,14.3
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,48.0,14.3
38,Lausanne,1004,Lausanne,100.0,14.6
38,Lausanne,1004,Lausanne,100.0,14.6
38,Lausanne,1004,Lausanne,71.0,14.6
39,Lausanne,1003,Lausanne,41.0,15.24
40,Apples,1143,Hautemorges,100.0,15.63
40,Apples,1143,Hautemorges,72.0,15.63
41,Froideville,1055,Froideville,50.0,15.75
42,Lausanne,1006,Lausanne,100.0,16.16
42,Lausanne,1006,Lausanne,37.0,16.16
43,Lausanne,1010,Lausanne,100.0,16.2
43,Lausanne,1010,Lausanne,8.0,16.2
44,Lausanne,1012,Lausanne,83.0,16.59
45,Epalinges,1066,Epalinges,100.0,16.67
45,Epalinges,1066,Epalinges,3.0,16.67
46,Lausanne,1005,Lausanne,51.0,17.01
47,Echichens,1112,Echichens,31.0,17.17
48,Tolochenaz,1131,Tolochenaz,37.0,17.27
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,8.0,17.3
50,Corcelles-sur-Chavornay,1374,Chavornay,12.0,17.33
51,Essert-Pittet,1435,Chavornay,3.0,17.61
52,Lully VD,1132,Lully (VD),11.0,17.89
53,Les Monts-de-Pully,1068,Pully,2.0,17.96
54,Peyres-Possens,1063,Montanaire,19.0,19.11
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,20.0,19.46
56,Villars-Tiercelin,1058,Jorat-Menthue,13.0,19.53
57,Villars-Mendraz,1061,Jorat-Menthue,7.0,19.67
58,Denens,1135,Denens,6.0,19.82
60,La Croix (Lutry),1090,Lutry,17.0,20.14
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,2.0,20.15
62,Montricher,1147,Montricher,17.0,20.65
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,18.0,20.98
64,Peney-le-Jorat,1059,Jorat-Menthue,3.0,21.03
65,Vuarrens,1418,Vuarrens,28.0,21.27
66,Agiez,1352,Agiez,12.0,21.45
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,11.0,21.77
68,Villars-sous-Yens,1168,Villars-sous-Yens,4.0,22.24
69,Ogens,1045,Ogens,2.0,22.24
70,Hermenches,1513,Hermenches,1.0,22.53
71,Sottens,1062,Jorat-Menthue,7.0,22.73
72,Ropraz,1088,Ropraz,2.0,22.89
73,Savigny,1073,Savigny,67.0,23.12
74,Berolle,1149,Bière,3.0,23.38
75,Lavigny,1175,Lavigny,16.0,23.76
76,Montpreveyres,1081,Montpreveyres,9.0,23.78
77,Pailly,1416,Pailly,16.0,23.93
78,Ursins,1412,Ursins,9.0,24.22
79,Montcherand,1354,Montcherand,8.0,24.57
80,Mathod,1438,Mathod,8.0,24.82
82,Rances,1439,Rances,1.0,25.11
83,Orzens,1413,Orzens,7.0,25.18
84,Aubonne,1170,Aubonne,26.0,25.22
85,Vaulion,1325,Vaulion,6.0,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),42.0,25.82
88,Féchy,1173,Féchy,7.0,26.33
89,Oppens,1047,Oppens,3.0,26.4
90,Chexbres,1071,Chexbres,15.0,26.4
92,Suscévaz,1437,Suscévaz,4.0,26.64
93,Gossens,1407,Donneloye,9.0,26.73
94,Moudon,1510,Moudon,74.0,26.87
95,Vucherens,1509,Vucherens,6.0,27.24
96,Champvent,1443,Champvent,11.0,27.27
97,Les Cullayes,1080,Forel (Lavaux),15.0,27.56
98,Perroy,1166,Féchy,15.0,27.66
99,Le Pont,1342,L'Abbaye,9.0,28.04
100,Chanéaz,1409,Montanaire,2.0,28.15
101,Neyruz-sur-Moudon,1515,Montanaire,2.0,28.47
102,Essertes,1078,Oron,2.0,28.89
103,L'Abbaye,1344,L'Abbaye,4.0,29.45
104,Puidoux,1070,Puidoux,21.0,29.6
105,Montherod,1174,Aubonne,15.0,29.64
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,27.0,29.77
107,Cuarny,1404,Cuarny,2.0,29.87
108,Bougy-Villars,1172,Bougy-Villars,1.0,30.02
109,Servion,1077,Servion,27.0,30.17
110,Mézières VD,1083,Jorat-Mézières,10.0,30.2
111,Les Tavernes,1607,Oron,15.0,30.22
112,St-Livres,1176,Saint-Livres,4.0,30.27
113,Le Séchey,1345,Le Lieu,1.0,30.45
114,Cronay,1406,Cronay,7.0,30.57
115,Châtillens,1610,Oron,29.0,30.79
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,7.0,30.86
117,Chavannes-sur-Moudon,1512,Chavannes-sur-Moudon,4.0,30.89
118,Baulmes,1446,Baulmes,16.0,30.92
119,Corseaux,1802,Corseaux,23.0,30.96
120,Chardonne,1803,Chardonne,8.0,31.29
121,Les Charbonnières,1343,Le Lieu,7.0,31.67
122,Jongny,1805,Corsier-sur-Vevey,11.0,31.96
123,Corsier-sur-Vevey,1804,Jongny,17.0,32.04
124,Bursins,1183,Gilly,9.0,32.33
125,Gilly,1182,Gilly,4.0,32.34
126,Orges,1430,Orges,10.0,32.47
127,Bursinel,1195,Gilly,2.0,32.67
128,Oulens-sur-Lucens,1522,Lucens,48.0,32.67
130,Ferlens VD,1076,Jorat-Mézières,9.0,32.92
131,Forel-sur-Lucens,1526,Lucens,3.0,32.95
132,Saubraz,1189,Saubraz,10.0,33.33
133,Carrouge VD,1084,Vulliens,9.0,33.34
134,Combremont-le-Petit,1536,Valbroye,3.0,33.49
135,Yvonand,1462,Yvonand,71.0,33.65
136,Vinzel,1184,Vinzel,3.0,33.76
137,Curtilles,1521,Curtilles,8.0,33.84
138,Vuiteboeuf,1445,Vuiteboeuf,7.0,33.93
139,La Conversion,1093,Lutry,13.0,33.94
140,Essertines-sur-Rolle,1186,Essertines-sur-Rolle,4.0,34.02
141,Ecoteaux,1612,Oron,8.0,34.15
142,Champagne,1424,Champagne,15.0,34.42
143,Les Bioux,1346,L'Abbaye,3.0,34.44
144,Le Mont-Pèlerin,1801,Chardonne,6.0,34.51
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,9.0,34.6
146,Burtigny,1268,Bursins,21.0,35.06
147,St-Oyens,1187,Saint-Oyens,3.0,35.53
148,Bonvillars,1427,Bonvillars,17.0,35.71
149,Onnens VD,1425,Onnens (VD),17.0,35.72
150,Fiez,1420,Fiez,12.0,35.81
153,Chailly-Montreux,1816,Montreux,2.0,36.78
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,42.0,37.0
155,Lovatens,1682,Lovatens,7.0,37.09
156,Vich,1267,Vich,7.0,37.17
157,Maracon,1613,Maracon,13.0,37.23
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,12.0,37.34
159,Molondin,1415,Molondin,7.0,37.35
160,Clarens,1815,Montreux,56.0,37.78
161,Blonay,1807,Montreux,59.0,38.06
162,Brent,1817,Montreux,1.0,38.25
163,Gimel,1188,Gimel,26.0,38.37
164,L'Orient,1341,Le Chenit,11.0,38.89
165,Le Solliat,1347,Le Chenit,32.0,39.01
166,Le Brassus,1348,Le Chenit,19.0,39.25
167,Villars-Burquin,1423,Tévenon,8.0,39.27
168,L'Auberson,1454,Sainte-Croix,2.0,39.37
169,Rovray,1463,Rovray,1.0,39.4
170,Duillier,1266,Duillier,4.0,39.71
171,La Sagne (Ste-Croix),1450,Sainte-Croix,15.0,39.85
172,Chernex,1822,Montreux,11.0,39.88
173,Prangins,1197,Prangins,38.0,40.06
174,Montreux,1820,Montreux,19.0,40.07
175,Chêne-Pâquier,1464,Chêne-Pâquier,7.0,40.54
176,Genolier,1272,Genolier,4.0,40.57
177,Longirod,1261,Longirod,7.0,40.81
179,Signy,1274,Signy-Avenex,7.0,42.11
180,Trélex,1270,Trélex,7.0,42.19
181,Glion,1823,Montreux,8.0,42.58
182,Chamby,1832,Montreux,1.0,42.8
184,Mutrux,1428,Mutrux,10.0,43.15
185,Eysins,1262,Eysins,11.0,44.13
186,Borex,1277,Borex,7.0,44.66
187,Vaumarcus,2028,Concise,4.0,45.19
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,40.0,45.42
189,Bassins,1269,Bassins,16.0,45.45
190,Gingins,1276,Saint-Cergue,11.0,45.6
191,Les Rasses,1452,Sainte-Croix,3.0,45.78
192,Crassier,1263,Crassier,8.0,46.19
194,Crans VD,1299,Crans (VD),7.0,46.63
195,Chéserex,1275,Chéserex,4.0,47.35
196,Rennaz,1847,Rennaz,2.0,47.79
197,Roche VD,1852,Roche (VD),38.0,49.01
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,13.0,49.44
199,Payerne,1530,Payerne,73.0,49.52
200,Noville,1845,Noville,13.0,49.53
201,Founex,1297,Founex,21.0,50.51
202,Chessel,1846,Chessel,4.0,51.35
203,Coppet,1296,Coppet,9.0,51.69
204,Granges-près-Marnand,1523,Valbroye,9.0,51.94
205,Commugny,1291,Commugny,2.0,52.22
206,Tannay,1295,Tannay,9.0,52.24
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,37.0,53.04
208,Yvorne,1853,Yvorne,9.0,53.07
209,Marnand,1524,Valbroye,2.0,53.83
212,St-Cergue,1264,Saint-Cergue,10.0,55.07
213,Couvet,2108,Provence,26.0,55.56
214,Trey,1552,Trey,9.0,55.86
215,Chevroux,1545,Chevroux,2.0,56.73
216,Aigle,1860,Aigle,37.0,56.8
218,Arzier-Le Muids,1273,Arzier-Le Muids,13.0,59.36
219,Sédeilles,1554,Villarzel,2.0,59.63
220,Villeneuve VD,1844,Villeneuve (VD),27.0,59.8
221,St-Triphon,1867,Ollon,36.0,59.8
223,Villars-le-Grand,1584,Vully-les-Lacs,3.0,62.51
224,Salavaux,1585,Vully-les-Lacs,4.0,62.83
225,Constantine,1587,Vully-les-Lacs,1.0,64.24
226,Bex,1880,Bex,40.0,64.72
227,Chabrey,1589,Vully-les-Lacs,9.0,66.19
228,Huémoz,1884,Ollon,2.0,67.26
230,Lavey-les-Bains,1892,Lavey-Morcles,3.0,68.54
231,Les Moulins,1660,Château-d'Oex,3.0,68.62
232,Chesières,1885,Ollon,4.0,69.28
233,Cudrefin,1588,Cudrefin,23.0,69.89
234,La Forclaz VD,1866,Ollon,1.0,72.05
236,Rougemont,1659,Château-d'Oex,6.0,74.02
237,Gryon,1882,Gryon,3.0,77.0
