index,Commune,NPA,Commune d'annonce / District,thu_tickets
64,Peney-le-Jorat,1059,Jorat-Menthue,6.0
65,Vuarrens,1418,Vuarrens,38.0
66,Agiez,1352,Agiez,2.0
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,10.0
68,Villars-sous-Yens,1168,Villars-sous-Yens,15.0
69,Ogens,1045,Ogens,12.0
72,Ropraz,1088,Ropraz,9.0
73,Savigny,1073,Savigny,35.0
74,Berolle,1149,Bière,11.0
75,Lavigny,1175,Lavigny,13.0
76,Montpreveyres,1081,Montpreveyres,9.0
77,Pailly,1416,Pailly,16.0
78,Ursins,1412,Ursins,23.0
79,Montcherand,1354,Montcherand,2.0
80,Mathod,1438,Mathod,6.0
81,Sergey,1355,Sergey,1.0
82,Rances,1439,Rances,4.0
83,Orzens,1413,Orzens,17.0
84,Aubonne,1170,Aubonne,41.0
85,Vaulion,1325,Vaulion,11.0
86,Forel (Lavaux),1072,Forel (Lavaux),19.0
87,Buchillon,1164,Buchillon,10.0
88,Féchy,1173,Féchy,6.0
89,Oppens,1047,Oppens,8.0
90,Chexbres,1071,Chexbres,20.0
91,Rueyres,1046,Rueyres,9.0
93,Gossens,1407,Donneloye,30.0
94,Moudon,1510,Moudon,18.0
95,Vucherens,1509,Vucherens,7.0
96,Champvent,1443,Champvent,15.0
97,Les Cullayes,1080,Forel (Lavaux),9.0
98,Perroy,1166,Féchy,12.0
99,Le Pont,1342,L'Abbaye,6.0
101,Neyruz-sur-Moudon,1515,Montanaire,4.0
103,L'Abbaye,1344,L'Abbaye,9.0
104,Puidoux,1070,Puidoux,29.0
105,Montherod,1174,Aubonne,4.0
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,35.0
107,Cuarny,1404,Cuarny,4.0
108,Bougy-Villars,1172,Bougy-Villars,1.0
109,Servion,1077,Servion,19.0
110,Mézières VD,1083,Jorat-Mézières,15.0
111,Les Tavernes,1607,Oron,20.0
112,St-Livres,1176,Saint-Livres,8.0
113,Le Séchey,1345,Le Lieu,2.0
114,Cronay,1406,Cronay,4.0
115,Châtillens,1610,Oron,11.0
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,17.0
117,Chavannes-sur-Moudon,1512,Chavannes-sur-Moudon,2.0
118,Baulmes,1446,Baulmes,7.0
119,Corseaux,1802,Corseaux,6.0
120,Chardonne,1803,Chardonne,21.0
121,Les Charbonnières,1343,Le Lieu,1.0
122,Jongny,1805,Corsier-sur-Vevey,23.0
123,Corsier-sur-Vevey,1804,Jongny,15.0
124,Bursins,1183,Gilly,11.0
125,Gilly,1182,Gilly,16.0
126,Orges,1430,Orges,2.0
127,Bursinel,1195,Gilly,12.0
128,Oulens-sur-Lucens,1522,Lucens,20.0
