index,Commune,NPA,Commune d'annonce / District,full_demand_wed,distance_to_venoge_km,P_Y,adjusted_demand_wed
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,25.0,4.72,0.9550408579554229,24
7,Lussery-Villars,1307,Lussery-Villars,15.0,4.85,0.9539111729627203,14
8,Gollion,1124,Gollion,51.0,5.04,0.9522114022008841,49
9,Boussens,1034,Boussens,52.0,5.08,0.9518460436131511,49
10,Aclens,1123,Aclens,18.0,6.28,0.9395735966055183,17
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81,0.9196794734987522,92
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81,0.9196794734987522,92
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81,0.9196794734987522,92
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81,0.9196794734987522,92
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81,0.9196794734987522,92
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,29.0,7.81,0.9196794734987522,27
12,Bremblens,1121,Bremblens,13.0,8.46,0.9095374318431675,12
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,38.0,8.48,0.9092077758892202,35
14,Crissier,1023,Crissier,100.0,8.59,0.9073752746616309,91
14,Crissier,1023,Crissier,100.0,8.59,0.9073752746616309,91
14,Crissier,1023,Crissier,23.0,8.59,0.9073752746616309,21
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),3.0,8.88,0.9023841113701887,3
16,Grancy,1117,Grancy,10.0,9.16,0.8973388692693484,9
17,Romanel-sur-Lausanne,1032,Lausanne,77.0,9.17,0.8971544791541564,69
18,Vullierens,1115,Vullierens,17.0,9.23,0.8960419706149801,15
