index,Commune,NPA,Commune d'annonce / District,full_demand_fri,distance_to_venoge_km,P_Y,adjusted_demand_fri
35,Poliez-le-Grand,1041,Montilliez,74.0,13.9,0.7720635494267837,57
36,St-Sulpice VD,1025,Saint-Sulpice (VD),39.0,14.13,0.7638672733326819,30
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,74.0,14.3,0.7576796390037048,56
38,Lausanne,1004,Lausanne,100.0,14.6,0.7464939833376621,75
38,Lausanne,1004,Lausanne,89.0,14.6,0.7464939833376621,66
39,Lausanne,1003,Lausanne,32.0,15.24,0.7215172162514372,23
40,Apples,1143,Hautemorges,83.0,15.63,0.7055773325914292,59
41,Froideville,1055,Froideville,35.0,15.75,0.700567142473973,25
42,Lausanne,1006,Lausanne,58.0,16.16,0.6830880948621851,40
43,Lausanne,1010,Lausanne,46.0,16.2,0.6813537337890256,31
44,Lausanne,1012,Lausanne,54.0,16.59,0.6641849304023333,36
45,Epalinges,1066,Epalinges,52.0,16.67,0.6606069144942676,34
46,Lausanne,1005,Lausanne,69.0,17.01,0.6451986045631822,45
47,Echichens,1112,Echichens,13.0,17.17,0.6378396846693871,8
48,Tolochenaz,1131,Tolochenaz,12.0,17.27,0.6332070634815847,8
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,26.0,17.3,0.6318124177361016,16
50,Corcelles-sur-Chavornay,1374,Chavornay,2.0,17.33,0.630415564271682,1
51,Essert-Pittet,1435,Chavornay,6.0,17.61,0.6172754928067907,4
52,Lully VD,1132,Lully (VD),9.0,17.89,0.6039617331092245,5
53,Les Monts-de-Pully,1068,Pully,2.0,17.96,0.6006082195512744,1
54,Peyres-Possens,1063,Montanaire,12.0,19.11,0.5443828762475714,7
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,18.0,19.46,0.5269737865749144,9
56,Villars-Tiercelin,1058,Jorat-Menthue,8.0,19.53,0.5234827114426752,4
58,Denens,1135,Denens,3.0,19.82,0.5089990281259547,2
