"","PLZ","day","ticket"
"259",1062,"ME",6
"260",1063,"ME",17
"261",1063,"JE",11
"262",1063,"VE",11
"263",1063,"SA",11
"264",1066,"ME",90
"265",1066,"JE",105
"266",1066,"VE",45
"267",1066,"SA",74
"268",1068,"ME",2
"269",1068,"VE",2
"270",1068,"SA",2
"271",1070,"ME",19
"272",1070,"JE",26
"273",1070,"VE",16
"274",1070,"SA",11
"275",1071,"ME",13
"276",1071,"JE",18
"277",1071,"VE",13
"278",1071,"SA",23
"279",1072,"ME",38
"280",1072,"JE",17
"281",1072,"VE",12
"282",1072,"SA",26
"283",1073,"ME",58
"284",1073,"JE",29
"285",1073,"VE",20
"286",1073,"SA",36
"287",1076,"ME",8
"288",1076,"JE",7
"289",1076,"SA",5
"290",1077,"ME",24
"291",1077,"JE",17
"292",1077,"VE",4
"293",1077,"SA",17
"294",1078,"ME",2
"295",1078,"SA",4
"296",1080,"ME",13
"297",1080,"JE",8
"298",1080,"VE",5
"299",1080,"SA",10
"300",1081,"ME",8
"301",1081,"JE",8
"302",1081,"VE",2
"303",1081,"SA",9
"304",1082,"ME",2
"305",1082,"JE",8
"306",1082,"VE",3
"307",1083,"ME",9
"308",1083,"JE",13
"309",1083,"VE",1
"310",1083,"SA",11
"311",1084,"ME",8
"312",1084,"JE",19
"313",1084,"VE",2
"314",1084,"SA",6
"315",1085,"ME",3
"316",1085,"JE",7
"317",1085,"VE",2
"318",1085,"SA",6
"319",1088,"ME",2
"320",1088,"JE",8
"321",1088,"VE",3
"322",1090,"ME",15
"323",1090,"JE",10
"324",1090,"VE",8
"325",1090,"SA",6
"326",1091,"ME",24
"327",1091,"JE",35
"328",1091,"VE",16
"329",1091,"SA",24
"330",1092,"ME",34
"331",1092,"JE",52
"332",1092,"VE",35
"333",1092,"SA",25
"334",1093,"ME",12
"335",1093,"JE",17
"336",1093,"VE",7
"337",1093,"SA",13
"338",1094,"ME",8
"339",1094,"JE",17
"340",1094,"VE",9
"341",1094,"SA",10
"342",1095,"ME",34
"343",1095,"JE",47
"344",1095,"VE",32
"345",1095,"SA",55
"346",1096,"ME",15
"347",1096,"JE",18
"348",1096,"VE",2
"349",1096,"SA",10
"350",1097,"ME",4
"351",1097,"JE",5
"352",1098,"ME",1
"353",1098,"JE",4
"354",1098,"VE",1
"355",1110,"ME",182
"356",1110,"JE",159
"357",1110,"VE",110
"358",1110,"SA",124
"359",1112,"ME",25
"360",1112,"JE",49
"361",1112,"VE",9
"362",1112,"SA",18
"363",1113,"ME",14
"364",1113,"JE",19
"365",1113,"VE",11
"366",1113,"SA",11
"367",1114,"ME",4
"368",1114,"JE",5
"369",1114,"VE",4
"370",1114,"SA",2
"371",1115,"ME",13
"372",1115,"JE",18
"373",1115,"VE",2
"374",1115,"SA",7
"375",1116,"ME",5
"376",1116,"JE",8
"377",1116,"VE",15
"378",1116,"SA",6
"379",1117,"ME",9
"380",1117,"JE",14
"381",1117,"VE",18
"382",1117,"SA",28
"383",1121,"ME",12
"384",1121,"JE",25
"385",1121,"VE",3
"386",1121,"SA",13
"387",1122,"ME",15
"388",1122,"JE",21
"389",1122,"SA",8
"390",1123,"ME",16
"391",1123,"JE",22
"392",1123,"VE",12
"393",1123,"SA",13
"394",1124,"ME",41
"395",1124,"JE",43
"396",1124,"VE",23
"397",1124,"SA",39
"398",1125,"ME",4
"399",1125,"JE",17
"400",1125,"VE",7
"401",1125,"SA",6
"402",1126,"ME",2
"403",1126,"JE",4
"404",1127,"ME",1
"405",1127,"VE",4
"406",1128,"ME",10
"407",1128,"JE",13
"408",1128,"VE",3
"409",1128,"SA",8
"410",1131,"ME",32
"411",1131,"JE",27
"412",1131,"VE",10
"413",1131,"SA",13
"414",1132,"ME",9
"415",1132,"JE",28
"416",1132,"VE",7
"417",1132,"SA",4
"418",1134,"ME",11
"419",1134,"JE",18
"420",1134,"VE",1
"421",1134,"SA",20
"422",1135,"ME",5
"423",1135,"JE",15
"424",1135,"VE",3
"425",1136,"ME",3
"426",1136,"JE",6
"427",1136,"VE",4
"428",1136,"SA",9
"429",1140,"JE",1
"430",1141,"JE",3
"431",1141,"VE",6
"432",1141,"SA",4
"433",1142,"ME",37
"434",1142,"JE",29
"435",1142,"VE",10
"436",1142,"SA",23
"437",1143,"ME",16
"438",1143,"JE",16
"439",1143,"VE",6
"440",1143,"SA",12
"441",1144,"ME",3
"442",1144,"JE",5
"443",1144,"VE",1
"444",1144,"SA",2
"445",1145,"ME",17
"446",1145,"JE",23
"447",1145,"VE",9
"448",1145,"SA",4
"449",1146,"JE",7
"450",1146,"VE",2
"451",1146,"SA",4
"452",1147,"ME",15
"453",1147,"JE",9
"454",1147,"VE",9
"455",1147,"SA",21
"456",1148,"ME",51
"457",1148,"JE",39
"458",1148,"VE",32
"459",1148,"SA",90
"460",1149,"ME",3
"461",1149,"JE",10
"462",1149,"SA",5
"463",1152,"JE",2
"464",1162,"ME",46
"465",1162,"JE",61
"466",1162,"VE",46
"467",1162,"SA",34
"468",1163,"ME",40
"469",1163,"JE",51
"470",1163,"VE",16
"471",1163,"SA",29
"472",1164,"JE",9
"473",1164,"VE",5
"474",1164,"SA",3
"475",1165,"ME",3
"476",1165,"JE",5
"477",1165,"VE",2
"478",1165,"SA",4
"479",1166,"ME",13
"480",1166,"JE",11
"481",1166,"VE",4
"482",1166,"SA",9
"483",1167,"ME",18
"484",1167,"JE",25
"485",1167,"VE",16
"486",1167,"SA",8
"487",1168,"ME",4
"488",1168,"JE",13
"489",1168,"VE",2
"490",1168,"SA",5
"491",1169,"ME",6
"492",1169,"JE",19
"493",1169,"VE",2
"494",1169,"SA",25
"495",1170,"ME",22
"496",1170,"JE",36
"497",1170,"VE",13
"498",1170,"SA",20
"499",1172,"ME",1
"500",1172,"JE",1
"501",1172,"SA",2
"502",1173,"ME",6
"503",1173,"JE",5
"504",1173,"VE",3
"505",1173,"SA",2
"506",1174,"ME",13
"507",1174,"JE",4
"508",1174,"SA",2
"509",1175,"ME",14
"510",1175,"JE",12
"511",1175,"VE",10
"512",1175,"SA",4
"513",1176,"ME",4
"514",1176,"JE",7
"515",1176,"VE",4
"516",1176,"SA",2
"517",1180,"ME",52
"518",1180,"JE",46
