index,Commune,NPA,Commune d'annonce / District,fri_tickets
90,Chexbres,1071,Chexbres,15.0
91,Rueyres,1046,Rueyres,9.0
93,Gossens,1407,Donneloye,3.0
94,Moudon,1510,Moudon,22.0
95,Vucherens,1509,Vucherens,3.0
96,Champvent,1443,Champvent,2.0
97,Les Cullayes,1080,Forel (Lavaux),6.0
98,Perroy,1166,Féchy,4.0
99,Le Pont,1342,L'Abbaye,2.0
100,Chanéaz,1409,Montanaire,1.0
103,L'Abbaye,1344,L'Abbaye,2.0
104,Puidoux,1070,Puidoux,18.0
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,6.0
107,Cuarny,1404,Cuarny,4.0
109,Servion,1077,Servion,4.0
110,Mézières VD,1083,Jorat-Mézières,1.0
111,Les Tavernes,1607,Oron,4.0
112,St-Livres,1176,Saint-Livres,4.0
113,Le Séchey,1345,Le Lieu,2.0
114,Cronay,1406,Cronay,12.0
115,Châtillens,1610,Oron,11.0
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,4.0
118,Baulmes,1446,Baulmes,3.0
119,Corseaux,1802,Corseaux,7.0
120,Chardonne,1803,Chardonne,10.0
122,Jongny,1805,Corsier-sur-Vevey,22.0
123,Corsier-sur-Vevey,1804,Jongny,7.0
124,Bursins,1183,Gilly,2.0
125,Gilly,1182,Gilly,9.0
126,Orges,1430,Orges,4.0
127,Bursinel,1195,Gilly,7.0
128,Oulens-sur-Lucens,1522,Lucens,12.0
129,Chesalles-sur-Moudon,1683,Lucens,2.0
131,Forel-sur-Lucens,1526,Lucens,6.0
132,Saubraz,1189,Saubraz,1.0
133,Carrouge VD,1084,Vulliens,2.0
134,Combremont-le-Petit,1536,Valbroye,3.0
135,Yvonand,1462,Yvonand,21.0
136,Vinzel,1184,Vinzel,3.0
139,La Conversion,1093,Lutry,8.0
142,Champagne,1424,Champagne,18.0
143,Les Bioux,1346,L'Abbaye,2.0
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,4.0
146,Burtigny,1268,Bursins,9.0
147,St-Oyens,1187,Saint-Oyens,3.0
148,Bonvillars,1427,Bonvillars,6.0
149,Onnens VD,1425,Onnens (VD),3.0
150,Fiez,1420,Fiez,7.0
153,Chailly-Montreux,1816,Montreux,1.0
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,27.0
155,Lovatens,1682,Lovatens,8.0
156,Vich,1267,Vich,3.0
157,Maracon,1613,Maracon,9.0
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,2.0
159,Molondin,1415,Molondin,10.0
160,Clarens,1815,Montreux,8.0
161,Blonay,1807,Montreux,23.0
162,Brent,1817,Montreux,4.0
163,Gimel,1188,Gimel,4.0
165,Le Solliat,1347,Le Chenit,2.0
166,Le Brassus,1348,Le Chenit,4.0
167,Villars-Burquin,1423,Tévenon,1.0
168,L'Auberson,1454,Sainte-Croix,4.0
169,Rovray,1463,Rovray,1.0
170,Duillier,1266,Duillier,2.0
171,La Sagne (Ste-Croix),1450,Sainte-Croix,31.0
172,Chernex,1822,Montreux,12.0
173,Prangins,1197,Prangins,13.0
174,Montreux,1820,Montreux,7.0
175,Chêne-Pâquier,1464,Chêne-Pâquier,2.0
176,Genolier,1272,Genolier,8.0
177,Longirod,1261,Longirod,10.0
178,Champtauroz,1537,Champtauroz,8.0
179,Signy,1274,Signy-Avenex,4.0
180,Trélex,1270,Trélex,4.0
183,Givrins,1271,Givrins,7.0
184,Mutrux,1428,Mutrux,4.0
185,Eysins,1262,Eysins,8.0
186,Borex,1277,Borex,3.0
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,21.0
189,Bassins,1269,Bassins,9.0
190,Gingins,1276,Saint-Cergue,4.0
192,Crassier,1263,Crassier,1.0
195,Chéserex,1275,Chéserex,1.0
197,Roche VD,1852,Roche (VD),7.0
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,7.0
199,Payerne,1530,Payerne,20.0
203,Coppet,1296,Coppet,2.0
204,Granges-près-Marnand,1523,Valbroye,7.0
205,Commugny,1291,Commugny,10.0
206,Tannay,1295,Tannay,2.0
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,11.0
210,La Rippe,1278,La Rippe,4.0
211,Grandcour,1543,Grandcour,8.0
212,St-Cergue,1264,Saint-Cergue,4.0
215,Chevroux,1545,Chevroux,2.0
216,Aigle,1860,Aigle,4.0
217,La Cure,1265,Saint-Cergue,2.0
218,Arzier-Le Muids,1273,Arzier-Le Muids,2.0
220,Villeneuve VD,1844,Villeneuve (VD),12.0
221,St-Triphon,1867,Ollon,9.0
223,Villars-le-Grand,1584,Vully-les-Lacs,2.0
224,Salavaux,1585,Vully-les-Lacs,6.0
226,Bex,1880,Bex,12.0
227,Chabrey,1589,Vully-les-Lacs,6.0
228,Huémoz,1884,Ollon,2.0
229,Vallamand,1586,Vully-les-Lacs,2.0
230,Lavey-les-Bains,1892,Lavey-Morcles,2.0
233,Cudrefin,1588,Cudrefin,26.0
