index,Commune,NPA,Commune d'annonce / District,adjusted_demand_wed,distance_to_venoge_km
18,Vullierens,1115,Vullierens,15,9.23
19,Chevilly,1316,Chevilly,10,9.38
20,Echandens,1026,Echandens,58,9.7
21,Morrens VD,1054,Morrens (VD),27,9.71
22,Eclagnens,1376,Goumoëns,34,10.34
23,Ecublens VD,1024,Ecublens (VD),87,10.6
23,Ecublens VD,1024,Ecublens (VD),41,10.6
24,St-Saphorin-sur-Morges,1113,Echichens,14,10.75
25,Colombier VD,1114,Echichens,3,10.88
26,Cottens VD,1116,Hautemorges,5,11.29
27,Cugy VD,1053,Cugy (VD),66,11.3
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,83,11.43
29,Ferreyres,1313,Ferreyres,16,12.65
30,Vaux-sur-Morges,1126,Vaux-sur-Morges,2,12.96
31,Clarmont,1127,Clarmont,1,13.14
32,Monnaz,1125,Echichens,3,13.26
33,Lausanne,1007,Lausanne,79,13.51
33,Lausanne,1007,Lausanne,26,13.51
34,Lausanne,1018,Lausanne,78,13.64
34,Lausanne,1018,Lausanne,51,13.64
35,Poliez-le-Grand,1041,Montilliez,77,13.9
35,Poliez-le-Grand,1041,Montilliez,15,13.9
36,St-Sulpice VD,1025,Saint-Sulpice (VD),37,14.13
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,76,14.3
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,36,14.3
38,Lausanne,1004,Lausanne,75,14.6
38,Lausanne,1004,Lausanne,75,14.6
38,Lausanne,1004,Lausanne,53,14.6
39,Lausanne,1003,Lausanne,30,15.24
40,Apples,1143,Hautemorges,71,15.63
40,Apples,1143,Hautemorges,51,15.63
41,Froideville,1055,Froideville,35,15.75
42,Lausanne,1006,Lausanne,68,16.16
42,Lausanne,1006,Lausanne,25,16.16
43,Lausanne,1010,Lausanne,68,16.2
43,Lausanne,1010,Lausanne,5,16.2
44,Lausanne,1012,Lausanne,55,16.59
45,Epalinges,1066,Epalinges,66,16.67
45,Epalinges,1066,Epalinges,2,16.67
46,Lausanne,1005,Lausanne,33,17.01
47,Echichens,1112,Echichens,20,17.17
48,Tolochenaz,1131,Tolochenaz,23,17.27
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,5,17.3
50,Corcelles-sur-Chavornay,1374,Chavornay,8,17.33
51,Essert-Pittet,1435,Chavornay,2,17.61
52,Lully VD,1132,Lully (VD),7,17.89
53,Les Monts-de-Pully,1068,Pully,1,17.96
54,Peyres-Possens,1063,Montanaire,10,19.11
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,11,19.46
56,Villars-Tiercelin,1058,Jorat-Menthue,7,19.53
57,Villars-Mendraz,1061,Jorat-Menthue,4,19.67
58,Denens,1135,Denens,3,19.82
60,La Croix (Lutry),1090,Lutry,8,20.14
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,1,20.15
62,Montricher,1147,Montricher,8,20.65
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,8,20.98
64,Peney-le-Jorat,1059,Jorat-Menthue,1,21.03
65,Vuarrens,1418,Vuarrens,12,21.27
66,Agiez,1352,Agiez,5,21.45
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,5,21.77
68,Villars-sous-Yens,1168,Villars-sous-Yens,2,22.24
69,Ogens,1045,Ogens,1,22.24
71,Sottens,1062,Jorat-Menthue,3,22.73
72,Ropraz,1088,Ropraz,1,22.89
73,Savigny,1073,Savigny,23,23.12
74,Berolle,1149,Bière,1,23.38
75,Lavigny,1175,Lavigny,5,23.76
76,Montpreveyres,1081,Montpreveyres,3,23.78
77,Pailly,1416,Pailly,5,23.93
78,Ursins,1412,Ursins,3,24.22
79,Montcherand,1354,Montcherand,2,24.57
80,Mathod,1438,Mathod,2,24.82
83,Orzens,1413,Orzens,2,25.18
84,Aubonne,1170,Aubonne,7,25.22
85,Vaulion,1325,Vaulion,2,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),10,25.82
88,Féchy,1173,Féchy,2,26.33
89,Oppens,1047,Oppens,1,26.4
90,Chexbres,1071,Chexbres,3,26.4
92,Suscévaz,1437,Suscévaz,1,26.64
93,Gossens,1407,Donneloye,2,26.73
94,Moudon,1510,Moudon,15,26.87
95,Vucherens,1509,Vucherens,1,27.24
