index,Commune,NPA,Commune d'annonce / District,adjusted_demand_thu,distance_to_venoge_km
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,15,19.46
56,Villars-Tiercelin,1058,Jorat-Menthue,15,19.53
57,Villars-Mendraz,1061,Jorat-Menthue,2,19.67
58,Denens,1135,Denens,9,19.82
59,Mollens VD,1146,Mollens (VD),4,20.11
60,La Croix (Lutry),1090,Lutry,5,20.14
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,4,20.15
62,Montricher,1147,Montricher,5,20.65
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,9,20.98
64,Peney-le-Jorat,1059,Jorat-Menthue,3,21.03
65,Vuarrens,1418,Vuarrens,17,21.27
66,Agiez,1352,Agiez,1,21.45
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,4,21.77
68,Villars-sous-Yens,1168,Villars-sous-Yens,6,22.24
69,Ogens,1045,Ogens,5,22.24
72,Ropraz,1088,Ropraz,3,22.89
73,Savigny,1073,Savigny,12,23.12
74,Berolle,1149,Bière,4,23.38
75,Lavigny,1175,Lavigny,4,23.76
76,Montpreveyres,1081,Montpreveyres,3,23.78
77,Pailly,1416,Pailly,5,23.93
78,Ursins,1412,Ursins,7,24.22
79,Montcherand,1354,Montcherand,1,24.57
80,Mathod,1438,Mathod,2,24.82
82,Rances,1439,Rances,1,25.11
83,Orzens,1413,Orzens,4,25.18
84,Aubonne,1170,Aubonne,11,25.22
85,Vaulion,1325,Vaulion,3,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),5,25.82
87,Buchillon,1164,Buchillon,2,26.28
88,Féchy,1173,Féchy,1,26.33
89,Oppens,1047,Oppens,2,26.4
90,Chexbres,1071,Chexbres,4,26.4
91,Rueyres,1046,Rueyres,2,26.51
93,Gossens,1407,Donneloye,6,26.73
94,Moudon,1510,Moudon,4,26.87
95,Vucherens,1509,Vucherens,1,27.24
96,Champvent,1443,Champvent,3,27.27
97,Les Cullayes,1080,Forel (Lavaux),2,27.56
98,Perroy,1166,Féchy,2,27.66
99,Le Pont,1342,L'Abbaye,1,28.04
101,Neyruz-sur-Moudon,1515,Montanaire,1,28.47
103,L'Abbaye,1344,L'Abbaye,1,29.45
104,Puidoux,1070,Puidoux,4,29.6
105,Montherod,1174,Aubonne,1,29.64
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,4,29.77
109,Servion,1077,Servion,2,30.17
110,Mézières VD,1083,Jorat-Mézières,2,30.2
111,Les Tavernes,1607,Oron,2,30.22
112,St-Livres,1176,Saint-Livres,1,30.27
115,Châtillens,1610,Oron,1,30.79
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,2,30.86
118,Baulmes,1446,Baulmes,1,30.92
119,Corseaux,1802,Corseaux,1,30.96
120,Chardonne,1803,Chardonne,2,31.29
122,Jongny,1805,Corsier-sur-Vevey,2,31.96
123,Corsier-sur-Vevey,1804,Jongny,1,32.04
124,Bursins,1183,Gilly,1,32.33
125,Gilly,1182,Gilly,1,32.34
127,Bursinel,1195,Gilly,1,32.67
128,Oulens-sur-Lucens,1522,Lucens,1,32.67
130,Ferlens VD,1076,Jorat-Mézières,1,32.92
132,Saubraz,1189,Saubraz,1,33.33
133,Carrouge VD,1084,Vulliens,1,33.34
135,Yvonand,1462,Yvonand,1,33.65
136,Vinzel,1184,Vinzel,1,33.76
139,La Conversion,1093,Lutry,1,33.94
142,Champagne,1424,Champagne,1,34.42
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,1,34.6
146,Burtigny,1268,Bursins,2,35.06
148,Bonvillars,1427,Bonvillars,1,35.71
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,2,37.0
160,Clarens,1815,Montreux,1,37.78
161,Blonay,1807,Montreux,1,38.06
163,Gimel,1188,Gimel,1,38.37
173,Prangins,1197,Prangins,1,40.06
