index,Commune,NPA,Commune d'annonce / District,adjusted_demand_fri,distance_to_venoge_km
76,Montpreveyres,1081,Montpreveyres,1,23.78
77,Pailly,1416,Pailly,5,23.93
79,Montcherand,1354,Montcherand,2,24.57
80,Mathod,1438,Mathod,1,24.82
81,Sergey,1355,Sergey,1,24.83
82,Rances,1439,Rances,2,25.11
83,Orzens,1413,Orzens,1,25.18
84,Aubonne,1170,Aubonne,4,25.22
85,Vaulion,1325,Vaulion,2,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),3,25.82
87,Buchillon,1164,Buchillon,1,26.28
88,Féchy,1173,Féchy,1,26.33
90,Chexbres,1071,Chexbres,3,26.4
91,Rueyres,1046,Rueyres,2,26.51
93,Gossens,1407,Donneloye,1,26.73
94,Moudon,1510,Moudon,4,26.87
95,Vucherens,1509,Vucherens,1,27.24
97,Les Cullayes,1080,Forel (Lavaux),1,27.56
98,Perroy,1166,Féchy,1,27.66
104,Puidoux,1070,Puidoux,2,29.6
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,1,29.77
114,Cronay,1406,Cronay,1,30.57
115,Châtillens,1610,Oron,1,30.79
119,Corseaux,1802,Corseaux,1,30.96
120,Chardonne,1803,Chardonne,1,31.29
122,Jongny,1805,Corsier-sur-Vevey,2,31.96
123,Corsier-sur-Vevey,1804,Jongny,1,32.04
125,Gilly,1182,Gilly,1,32.34
127,Bursinel,1195,Gilly,1,32.67
128,Oulens-sur-Lucens,1522,Lucens,1,32.67
135,Yvonand,1462,Yvonand,1,33.65
142,Champagne,1424,Champagne,1,34.42
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,1,37.0
161,Blonay,1807,Montreux,1,38.06
171,La Sagne (Ste-Croix),1450,Sainte-Croix,1,39.85
