index,Commune,NPA,Commune d'annonce / District,full_demand_sat,distance_to_venoge_km,P_Y,adjusted_demand_sat
29,Ferreyres,1313,Ferreyres,25.0,12.65,0.8130573860319537,20
32,Monnaz,1125,Echichens,7.0,13.26,0.7938024603249474,6
33,Lausanne,1007,Lausanne,100.0,13.51,0.7854981938976445,79
33,Lausanne,1007,Lausanne,66.0,13.51,0.7854981938976445,52
34,Lausanne,1018,Lausanne,90.0,13.64,0.7810849226908843,70
35,Poliez-le-Grand,1041,Montilliez,100.0,13.9,0.7720635494267837,77
35,Poliez-le-Grand,1041,Montilliez,3.0,13.9,0.7720635494267837,2
36,St-Sulpice VD,1025,Saint-Sulpice (VD),65.0,14.13,0.7638672733326819,50
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,100.0,14.3,0.7576796390037048,76
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,31.0,14.3,0.7576796390037048,23
38,Lausanne,1004,Lausanne,100.0,14.6,0.7464939833376621,75
38,Lausanne,1004,Lausanne,90.0,14.6,0.7464939833376621,67
39,Lausanne,1003,Lausanne,68.0,15.24,0.7215172162514372,49
40,Apples,1143,Hautemorges,100.0,15.63,0.7055773325914292,71
40,Apples,1143,Hautemorges,100.0,15.63,0.7055773325914292,71
40,Apples,1143,Hautemorges,20.0,15.63,0.7055773325914292,14
41,Froideville,1055,Froideville,48.0,15.75,0.700567142473973,34
42,Lausanne,1006,Lausanne,100.0,16.16,0.6830880948621851,68
42,Lausanne,1006,Lausanne,74.0,16.16,0.6830880948621851,51
43,Lausanne,1010,Lausanne,71.0,16.2,0.6813537337890256,48
44,Lausanne,1012,Lausanne,100.0,16.59,0.6641849304023333,66
44,Lausanne,1012,Lausanne,14.0,16.59,0.6641849304023333,9
45,Epalinges,1066,Epalinges,85.0,16.67,0.6606069144942676,56
46,Lausanne,1005,Lausanne,89.0,17.01,0.6451986045631822,57
47,Echichens,1112,Echichens,23.0,17.17,0.6378396846693871,15
48,Tolochenaz,1131,Tolochenaz,16.0,17.27,0.6332070634815847,10
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,31.0,17.3,0.6318124177361016,20
50,Corcelles-sur-Chavornay,1374,Chavornay,7.0,17.33,0.630415564271682,4
52,Lully VD,1132,Lully (VD),6.0,17.89,0.6039617331092245,4
53,Les Monts-de-Pully,1068,Pully,2.0,17.96,0.6006082195512744,1
