"","PLZ","day","ticket"
"266",1441,"JE",7
"267",1442,"JE",5
"268",1443,"JE",13
"269",1445,"JE",2
"270",1446,"JE",6
"271",1450,"JE",18
"272",1453,"JE",6
"273",1454,"JE",2
"274",1462,"JE",19
"275",1464,"JE",5
"276",1468,"JE",5
"277",1470,"JE",16
"278",1473,"JE",9
"279",1474,"JE",8
"280",1475,"JE",2
"281",1482,"JE",6
"282",1483,"JE",3
"283",1485,"JE",5
"284",1489,"JE",4
"285",1509,"JE",6
"286",1510,"JE",14
"287",1512,"JE",2
"288",1514,"JE",15
"289",1515,"JE",4
"290",1521,"JE",2
"291",1522,"JE",18
"292",1523,"JE",2
"293",1524,"JE",3
"294",1525,"JE",3
"295",1526,"JE",5
"296",1527,"JE",2
"297",1528,"JE",9
"298",1530,"JE",7
"299",1536,"JE",2
"300",1537,"JE",2
"301",1541,"JE",3
"302",1542,"JE",2
"303",1544,"JE",1
"304",1545,"JE",4
"305",1553,"JE",8
"306",1562,"JE",4
"307",1563,"JE",2
"308",1564,"JE",8
"309",1565,"JE",5
"310",1566,"JE",9
"311",1568,"JE",9
"312",1580,"JE",9
"313",1583,"JE",4
"314",1585,"JE",4
"315",1588,"JE",22
"316",1589,"JE",7
"317",1607,"JE",18
"318",1608,"JE",5
"319",1610,"JE",10
"320",1612,"JE",2
"321",1613,"JE",12
"322",1614,"JE",1
"323",1615,"JE",12
"324",1616,"JE",20
"325",1617,"JE",9
"326",1618,"JE",43
"327",1619,"JE",14
"328",1624,"JE",3
"329",1628,"JE",3
"330",1630,"JE",13
"331",1634,"JE",6
"332",1635,"JE",16
"333",1637,"JE",3
"334",1643,"JE",2
"335",1646,"JE",2
"336",1653,"JE",3
"337",1658,"JE",3
"338",1660,"JE",10
"339",1663,"JE",4
"340",1666,"JE",4
"341",1669,"JE",5
"342",1670,"JE",4
"343",1673,"JE",15
"344",1674,"JE",10
"345",1675,"JE",8
"346",1676,"JE",4
"347",1677,"JE",2
"348",1678,"JE",1
"349",1682,"JE",3
"350",1683,"JE",3
"351",1685,"JE",5
"352",1687,"JE",2
"353",1688,"JE",1
"354",1692,"JE",1
"355",1694,"JE",3
"356",1695,"JE",2
"357",1696,"JE",1
"358",1699,"JE",7
"359",1700,"JE",14
"360",1712,"JE",4
"361",1721,"JE",3
"362",1723,"JE",4
"363",1725,"JE",6
"364",1727,"JE",5
"365",1728,"JE",4
"366",1732,"JE",2
"367",1733,"JE",2
"368",1740,"JE",2
"369",1745,"JE",4
"370",1746,"JE",7
"371",1747,"JE",2
"372",1752,"JE",16
"373",1753,"JE",2
"374",1754,"JE",2
"375",1756,"JE",3
"376",1757,"JE",2
"377",1763,"JE",5
"378",1774,"JE",16
"379",1782,"JE",6
"380",1783,"JE",2
"381",1786,"JE",8
"382",1787,"JE",6
"383",1788,"JE",2
"384",1791,"JE",2
