Commune,NPA,Commune d'annonce / District,demand_from_youth,distance_to_venoge_km
Denens,1135,Denens,8.0,19.82
Mollens VD,1146,Mollens (VD),3.0,20.11
La Croix (Lutry),1090,Lutry,98.0,20.14
Corcelles-le-Jorat,1082,Corcelles-le-Jorat,6.0,20.15
Montricher,1147,Montricher,10.0,20.65
Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,13.0,20.98
Vuarrens,1418,Vuarrens,11.0,21.27
Agiez,1352,Agiez,3.0,21.45
Valeyres-sous-Rances,1358,Valeyres-sous-Rances,5.0,21.77
Villars-sous-Yens,1168,Villars-sous-Yens,5.0,22.24
Ogens,1045,Ogens,2.0,22.24
Hermenches,1513,Hermenches,3.0,22.53
Ropraz,1088,Ropraz,4.0,22.89
Savigny,1073,Savigny,23.0,23.12
Berolle,1149,Bière,13.0,23.38
Lavigny,1175,Lavigny,7.0,23.76
Montpreveyres,1081,Montpreveyres,5.0,23.78
Pailly,1416,Pailly,3.0,23.93
Ursins,1412,Ursins,1.0,24.22
Montcherand,1354,Montcherand,3.0,24.57
Mathod,1438,Mathod,6.0,24.82
Sergey,1355,Sergey,1.0,24.83
Rances,1439,Rances,3.0,25.11
Orzens,1413,Orzens,1.0,25.18
Aubonne,1170,Aubonne,22.0,25.22
Vaulion,1325,Vaulion,2.0,25.22
Forel (Lavaux),1072,Forel (Lavaux),8.0,25.82
Buchillon,1164,Buchillon,3.0,26.28
Féchy,1173,Féchy,5.0,26.33
Oppens,1047,Oppens,1.0,26.4
Chexbres,1071,Chexbres,9.0,26.4
Rueyres,1046,Rueyres,2.0,26.51
Suscévaz,1437,Suscévaz,1.0,26.64
Gossens,1407,Donneloye,4.0,26.73
Moudon,1510,Moudon,34.0,26.87
Vucherens,1509,Vucherens,2.0,27.24
Champvent,1443,Champvent,3.0,27.27
Le Pont,1342,L'Abbaye,4.0,28.04
Essertes,1078,Oron,19.0,28.89
Puidoux,1070,Puidoux,9.0,29.6
Mont-sur-Rolle,1185,Essertines-sur-Rolle,2.0,29.77
Cuarny,1404,Cuarny,1.0,29.87
Bougy-Villars,1172,Bougy-Villars,1.0,30.02
Servion,1077,Servion,5.0,30.17
Mézières VD,1083,Jorat-Mézières,9.0,30.2
St-Livres,1176,Saint-Livres,2.0,30.27
Le Séchey,1345,Le Lieu,2.0,30.45
Cronay,1406,Cronay,1.0,30.57
Bussy-sur-Moudon,1514,Bussy-sur-Moudon,1.0,30.86
Chavannes-sur-Moudon,1512,Chavannes-sur-Moudon,1.0,30.89
Baulmes,1446,Baulmes,3.0,30.92
Corseaux,1802,Corseaux,4.0,30.96
Chardonne,1803,Chardonne,6.0,31.29
Jongny,1805,Corsier-sur-Vevey,6.0,31.96
Corsier-sur-Vevey,1804,Jongny,3.0,32.04
Bursins,1183,Gilly,2.0,32.33
Orges,1430,Orges,1.0,32.47
Oulens-sur-Lucens,1522,Lucens,8.0,32.67
Saubraz,1189,Saubraz,1.0,33.33
Carrouge VD,1084,Vulliens,1.0,33.34
Combremont-le-Petit,1536,Valbroye,4.0,33.49
Yvonand,1462,Yvonand,4.0,33.65
Vuiteboeuf,1445,Vuiteboeuf,1.0,33.93
Champagne,1424,Champagne,1.0,34.42
Burtigny,1268,Bursins,1.0,35.06
Chailly-Montreux,1816,Montreux,24.0,36.78
La Tour-de-Peilz,1814,La Tour-de-Peilz,9.0,37.0
Vich,1267,Vich,1.0,37.17
Gimel,1188,Gimel,1.0,38.37
L'Orient,1341,Le Chenit,2.0,38.89
L'Auberson,1454,Sainte-Croix,2.0,39.37
Prangins,1197,Prangins,2.0,40.06
Genolier,1272,Genolier,1.0,40.57
St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,2.0,45.42
Payerne,1530,Payerne,1.0,49.52
