index,Commune,NPA,Commune d'annonce / District,adjusted_demand_sat,distance_to_venoge_km
65,Vuarrens,1418,Vuarrens,5,21.27
66,Agiez,1352,Agiez,6,21.45
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,3,21.77
68,Villars-sous-Yens,1168,Villars-sous-Yens,2,22.24
69,Ogens,1045,Ogens,4,22.24
73,Savigny,1073,Savigny,15,23.12
74,Berolle,1149,Bière,2,23.38
75,Lavigny,1175,Lavigny,1,23.76
76,Montpreveyres,1081,Montpreveyres,3,23.78
77,Pailly,1416,Pailly,4,23.93
78,Ursins,1412,Ursins,2,24.22
79,Montcherand,1354,Montcherand,2,24.57
81,Sergey,1355,Sergey,1,24.83
82,Rances,1439,Rances,1,25.11
84,Aubonne,1170,Aubonne,6,25.22
85,Vaulion,1325,Vaulion,3,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),7,25.82
87,Buchillon,1164,Buchillon,1,26.28
90,Chexbres,1071,Chexbres,6,26.4
93,Gossens,1407,Donneloye,1,26.73
94,Moudon,1510,Moudon,2,26.87
96,Champvent,1443,Champvent,2,27.27
97,Les Cullayes,1080,Forel (Lavaux),2,27.56
98,Perroy,1166,Féchy,2,27.66
101,Neyruz-sur-Moudon,1515,Montanaire,1,28.47
102,Essertes,1078,Oron,1,28.89
104,Puidoux,1070,Puidoux,2,29.6
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,1,29.77
109,Servion,1077,Servion,2,30.17
110,Mézières VD,1083,Jorat-Mézières,1,30.2
111,Les Tavernes,1607,Oron,2,30.22
114,Cronay,1406,Cronay,1,30.57
115,Châtillens,1610,Oron,1,30.79
118,Baulmes,1446,Baulmes,1,30.92
119,Corseaux,1802,Corseaux,1,30.96
122,Jongny,1805,Corsier-sur-Vevey,1,31.96
123,Corsier-sur-Vevey,1804,Jongny,2,32.04
125,Gilly,1182,Gilly,2,32.34
126,Orges,1430,Orges,1,32.47
128,Oulens-sur-Lucens,1522,Lucens,1,32.67
132,Saubraz,1189,Saubraz,1,33.33
135,Yvonand,1462,Yvonand,1,33.65
139,La Conversion,1093,Lutry,1,33.94
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,2,37.0
161,Blonay,1807,Montreux,1,38.06
163,Gimel,1188,Gimel,1,38.37
