"","PLZ","day","ticket"
"266",1509,"VE",3
"267",1510,"VE",18
"268",1513,"VE",4
"269",1514,"VE",4
"270",1522,"VE",11
"271",1523,"VE",6
"272",1525,"VE",1
"273",1526,"VE",5
"274",1529,"VE",2
"275",1530,"VE",18
"276",1532,"VE",19
"277",1534,"VE",2
"278",1536,"VE",3
"279",1537,"VE",7
"280",1541,"VE",4
"281",1543,"VE",7
"282",1544,"VE",4
"283",1545,"VE",2
"284",1553,"VE",4
"285",1562,"VE",3
"286",1564,"VE",11
"287",1565,"VE",2
"288",1566,"VE",4
"289",1567,"VE",1
"290",1568,"VE",2
"291",1580,"VE",6
"292",1583,"VE",3
"293",1584,"VE",2
"294",1585,"VE",5
"295",1586,"VE",2
"296",1588,"VE",23
"297",1589,"VE",5
"298",1595,"VE",8
"299",1607,"VE",4
"300",1608,"VE",1
"301",1610,"VE",10
"302",1613,"VE",8
"303",1616,"VE",11
"304",1618,"VE",28
"305",1619,"VE",3
"306",1623,"VE",5
"307",1624,"VE",5
"308",1626,"VE",1
"309",1628,"VE",9
"310",1630,"VE",25
"311",1632,"VE",2
"312",1633,"VE",5
"313",1634,"VE",1
"314",1635,"VE",3
"315",1636,"VE",6
"316",1637,"VE",3
"317",1644,"VE",3
"318",1645,"VE",2
"319",1647,"VE",8
"320",1652,"VE",1
"321",1661,"VE",1
"322",1663,"VE",2
"323",1666,"VE",2
"324",1670,"VE",2
"325",1673,"VE",12
"326",1675,"VE",4
"327",1677,"VE",1
"328",1680,"VE",7
"329",1682,"VE",7
"330",1683,"VE",2
"331",1684,"VE",5
"332",1692,"VE",2
"333",1694,"VE",3
"334",1700,"VE",60
"335",1718,"VE",2
"336",1720,"VE",10
"337",1721,"VE",2
"338",1723,"VE",12
"339",1724,"VE",2
"340",1725,"VE",5
"341",1726,"VE",6
"342",1728,"VE",2
"343",1740,"VE",8
"344",1741,"VE",6
"345",1744,"VE",9
"346",1745,"VE",9
"347",1746,"VE",5
"348",1747,"VE",2
"349",1749,"VE",2
"350",1752,"VE",13
"351",1753,"VE",2
"352",1757,"VE",2
"353",1762,"VE",6
"354",1772,"VE",4
"355",1773,"VE",3
"356",1774,"VE",4
"357",1775,"VE",4
"358",1776,"VE",2
"359",1783,"VE",2
"360",1785,"VE",5
"361",1786,"VE",8
"362",1787,"VE",2
"363",1788,"VE",5
"364",1789,"VE",4
"365",1792,"VE",2
"366",1793,"VE",2
"367",1794,"VE",1
"368",1800,"VE",54
"369",1802,"VE",6
"370",1803,"VE",9
"371",1804,"VE",6
"372",1805,"VE",20
"373",1806,"VE",19
"374",1807,"VE",19
"375",1808,"VE",5
"376",1814,"VE",21
"377",1815,"VE",7
"378",1816,"VE",1
"379",1817,"VE",4
"380",1820,"VE",5
"381",1822,"VE",11
"382",1844,"VE",11
"383",1852,"VE",6
"384",1854,"VE",4
"385",1860,"VE",4
"386",1865,"VE",2
"387",1867,"VE",8
"388",1868,"VE",5
"389",1869,"VE",3
"390",1870,"VE",48
"391",1871,"VE",4
"392",1872,"VE",10
"393",1873,"VE",4
"394",1874,"VE",1
"395",1880,"VE",11
"396",1884,"VE",2
"397",1890,"VE",8
"398",1891,"VE",2
"399",1892,"VE",2
"400",1893,"VE",10
"401",1895,"VE",3
"402",1896,"VE",14
"403",1897,"VE",5
"404",1898,"VE",4
"405",1902,"VE",5
"406",1904,"VE",1
"407",1907,"VE",3
"408",1908,"VE",1
"409",1911,"VE",1
"410",1912,"VE",3
"411",1920,"VE",9
"412",1923,"VE",1
"413",1926,"VE",3
"414",1932,"VE",1
"415",1933,"VE",1
"416",1946,"VE",2
"417",1950,"VE",17
"418",1955,"VE",1
"419",1957,"VE",3
"420",1958,"VE",7
"421",1963,"VE",4
"422",1964,"VE",4
"423",1965,"VE",9
"424",1966,"VE",2
"425",1967,"VE",4
"426",1971,"VE",2
"427",1975,"VE",2
"428",1977,"VE",2
"429",1987,"VE",3
"430",1997,"VE",4
"431",2000,"VE",83
"432",2012,"VE",6
"433",2013,"VE",16
"434",2014,"VE",14
"435",2015,"VE",8
"436",2016,"VE",10
"437",2017,"VE",13
"438",2019,"VE",2
"439",2022,"VE",3
"440",2023,"VE",12
"441",2024,"VE",8
"442",2025,"VE",8
"443",2027,"VE",2
"444",2034,"VE",20
"445",2035,"VE",13
"446",2046,"VE",2
"447",2052,"VE",3
"448",2053,"VE",1
"449",2054,"VE",3
"450",2056,"VE",12
"451",2067,"VE",2
"452",2068,"VE",6
"453",2072,"VE",10
"454",2074,"VE",9
"455",2087,"VE",1
"456",2088,"VE",1
"457",2112,"VE",5
"458",2114,"VE",11
"459",2115,"VE",2
"460",2117,"VE",3
"461",2123,"VE",8
"462",2206,"VE",4
"463",2207,"VE",2
"464",2208,"VE",2
"465",2300,"VE",31
"466",2314,"VE",1
"467",2325,"VE",4
"468",2333,"VE",2
"469",2338,"VE",1
"470",2350,"VE",13
"471",2400,"VE",7
"472",2502,"VE",9
"473",2503,"VE",6
"474",2504,"VE",5
"475",2512,"VE",1
"476",2518,"VE",4
"477",2520,"VE",5
"478",2523,"VE",4
"479",2525,"VE",10
"480",2533,"VE",6
"481",2538,"VE",2
"482",2542,"VE",2
"483",2552,"VE",1
"484",2563,"VE",3
"485",2564,"VE",1
"486",2605,"VE",1
"487",2606,"VE",4
"488",2610,"VE",2
"489",2615,"VE",2
"490",2720,"VE",6
"491",2723,"VE",7
"492",2735,"VE",2
"493",2738,"VE",2
"494",2740,"VE",6
"495",2744,"VE",1
"496",2800,"VE",14
"497",2822,"VE",8
"498",2824,"VE",1
"499",2852,"VE",2
"500",2854,"VE",2
"501",2912,"VE",2
"502",2932,"VE",1
"503",2946,"VE",3
"504",2950,"VE",2
"505",2954,"VE",4
"506",3006,"VE",7
"507",3007,"VE",4
"508",3013,"VE",3
"509",3066,"VE",4
"510",3067,"VE",1
"511",3072,"VE",2
"512",3075,"VE",3
"513",3088,"VE",4
"514",3095,"VE",4
"515",3176,"VE",2
"516",3186,"VE",1
"517",3210,"VE",6
"518",3215,"VE",4
"519",3225,"VE",2
"520",3236,"VE",2
"521",3238,"VE",4
"522",3280,"VE",1
"523",3297,"VE",3
"524",3305,"VE",2
"525",3306,"VE",2
"526",3624,"VE",2
"527",3910,"VE",1
"528",3960,"VE",11
"529",3963,"VE",1
"530",3966,"VE",4
"531",3968,"VE",2
"532",3974,"VE",1
"533",3977,"VE",1
"534",3979,"VE",5
"535",4055,"VE",2
"536",4057,"VE",1
"537",4147,"VE",2
"538",4457,"VE",2
"539",4502,"VE",1
"540",4528,"VE",1
"541",4563,"VE",1
"542",4632,"VE",2
"543",4703,"VE",3
"544",5151,"VE",2
"545",5200,"VE",1
"546",5522,"VE",2
"547",5606,"VE",1
"548",6033,"VE",2
"549",6302,"VE",2
"550",6500,"VE",2
"551",6517,"VE",5
"552",6821,"VE",3
"553",6863,"VE",1
"554",6872,"VE",1
"555",6966,"VE",2
"556",6967,"VE",4
"557",7420,"VE",1
"558",8003,"VE",1
"559",8004,"VE",1
"560",8044,"VE",4
"561",8048,"VE",2
"562",8050,"VE",1
"563",8134,"VE",1
"564",8152,"VE",1
"565",8153,"VE",2
"566",8248,"VE",2
"567",8280,"VE",2
"568",8302,"VE",2
"569",8307,"VE",2
"570",8317,"VE",2
"571",8400,"VE",1
"572",8825,"VE",3
"573",8890,"VE",2
"574",8913,"VE",2
"575",9000,"VE",1
"576",9300,"VE",4
