"","PLZ","day","ticket"
"266",1434,"ME",5
"267",1435,"ME",3
"268",1436,"ME",22
"269",1437,"ME",4
"270",1438,"ME",7
"271",1439,"ME",1
"272",1441,"ME",24
"273",1442,"ME",18
"274",1443,"ME",10
"275",1445,"ME",6
"276",1446,"ME",14
"277",1450,"ME",13
"278",1452,"ME",3
"279",1454,"ME",2
"280",1462,"ME",64
"281",1463,"ME",1
"282",1464,"ME",6
"283",1468,"ME",15
"284",1470,"ME",52
"285",1473,"ME",12
"286",1474,"ME",5
"287",1475,"ME",15
"288",1480,"ME",1
"289",1482,"ME",32
"290",1483,"ME",8
"291",1484,"ME",5
"292",1485,"ME",4
"293",1486,"ME",1
"294",1489,"ME",2
"295",1509,"ME",5
"296",1510,"ME",64
"297",1512,"ME",4
"298",1513,"ME",1
"299",1514,"ME",6
"300",1515,"ME",2
"301",1521,"ME",7
"302",1522,"ME",43
"303",1523,"ME",8
"304",1524,"ME",2
"305",1525,"ME",7
"306",1526,"ME",3
"307",1527,"ME",2
"308",1529,"ME",2
"309",1530,"ME",65
"310",1532,"ME",9
"311",1533,"ME",1
"312",1534,"ME",3
"313",1536,"ME",3
"314",1541,"ME",3
"315",1542,"ME",2
"316",1544,"ME",7
"317",1545,"ME",2
"318",1552,"ME",8
"319",1553,"ME",6
"320",1554,"ME",2
"321",1562,"ME",10
"322",1563,"ME",15
"323",1564,"ME",40
"324",1565,"ME",5
"325",1566,"ME",13
"326",1567,"ME",7
"327",1568,"ME",4
"328",1580,"ME",21
"329",1583,"ME",3
"330",1584,"ME",3
"331",1585,"ME",4
"332",1587,"ME",1
"333",1588,"ME",21
"334",1589,"ME",8
"335",1595,"ME",10
"336",1607,"ME",13
"337",1608,"ME",18
"338",1609,"ME",2
"339",1610,"ME",26
"340",1611,"ME",1
"341",1612,"ME",7
"342",1613,"ME",12
"343",1614,"ME",16
"344",1615,"ME",18
"345",1616,"ME",35
"346",1617,"ME",20
"347",1618,"ME",78
"348",1623,"ME",9
"349",1624,"ME",10
"350",1626,"ME",1
"351",1627,"ME",1
"352",1628,"ME",10
"353",1630,"ME",52
"354",1632,"ME",8
"355",1633,"ME",10
"356",1635,"ME",25
"357",1636,"ME",11
"358",1638,"ME",4
"359",1642,"ME",14
"360",1643,"ME",3
"361",1644,"ME",2
"362",1646,"ME",4
"363",1648,"ME",9
"364",1652,"ME",3
