"","PLZ","day","ticket"
"266",1485,"SA",1
"267",1489,"SA",10
"268",1509,"SA",2
"269",1510,"SA",8
"270",1514,"SA",4
"271",1515,"SA",6
"272",1522,"SA",12
"273",1526,"SA",1
"274",1530,"SA",9
"275",1532,"SA",19
"276",1545,"SA",2
"277",1553,"SA",8
"278",1563,"SA",3
"279",1564,"SA",1
"280",1565,"SA",3
"281",1566,"SA",2
"282",1567,"SA",4
"283",1568,"SA",2
"284",1580,"SA",4
"285",1585,"SA",6
"286",1587,"SA",1
"287",1588,"SA",7
"288",1589,"SA",4
"289",1595,"SA",1
"290",1607,"SA",13
"291",1608,"SA",1
"292",1610,"SA",10
"293",1611,"SA",2
"294",1612,"SA",5
"295",1613,"SA",14
"296",1614,"SA",6
"297",1615,"SA",2
"298",1616,"SA",10
"299",1617,"SA",19
"300",1618,"SA",26
"301",1619,"SA",10
"302",1623,"SA",4
"303",1625,"SA",4
"304",1628,"SA",5
"305",1630,"SA",41
"306",1632,"SA",13
"307",1634,"SA",5
"308",1635,"SA",4
"309",1636,"SA",7
"310",1642,"SA",2
"311",1644,"SA",4
"312",1647,"SA",5
"313",1648,"SA",4
"314",1649,"SA",2
"315",1652,"SA",5
"316",1653,"SA",1
"317",1661,"SA",1
"318",1665,"SA",2
"319",1670,"SA",14
"320",1673,"SA",16
"321",1674,"SA",2
"322",1675,"SA",9
"323",1677,"SA",2
"324",1678,"SA",2
"325",1680,"SA",10
"326",1681,"SA",1
"327",1682,"SA",5
"328",1684,"SA",3
"329",1686,"SA",1
"330",1687,"SA",2
"331",1690,"SA",5
"332",1694,"SA",2
"333",1696,"SA",4
"334",1699,"SA",2
"335",1700,"SA",24
"336",1714,"SA",4
"337",1715,"SA",2
"338",1717,"SA",1
"339",1720,"SA",4
"340",1721,"SA",4
"341",1723,"SA",17
"342",1724,"SA",2
"343",1725,"SA",2
"344",1726,"SA",2
"345",1727,"SA",3
"346",1728,"SA",9
"347",1730,"SA",2
"348",1732,"SA",4
"349",1733,"SA",3
"350",1740,"SA",8
"351",1741,"SA",2
"352",1742,"SA",6
"353",1745,"SA",13
"354",1747,"SA",7
"355",1748,"SA",2
"356",1752,"SA",12
"357",1753,"SA",4
"358",1754,"SA",4
"359",1756,"SA",9
"360",1763,"SA",4
"361",1775,"SA",2
"362",1776,"SA",1
"363",1782,"SA",4
"364",1785,"SA",7
"365",1800,"SA",36
"366",1801,"SA",7
"367",1802,"SA",9
"368",1803,"SA",3
"369",1804,"SA",17
"370",1805,"SA",10
"371",1806,"SA",12
"372",1807,"SA",26
"373",1808,"SA",3
"374",1814,"SA",53
"375",1815,"SA",12
"376",1816,"SA",4
"377",1817,"SA",6
"378",1820,"SA",6
"379",1822,"SA",9
"380",1823,"SA",2
"381",1832,"SA",5
"382",1844,"SA",5
"383",1845,"SA",6
"384",1846,"SA",2
"385",1847,"SA",11
"386",1852,"SA",4
"387",1856,"SA",2
"388",1860,"SA",10
"389",1865,"SA",2
"390",1867,"SA",12
"391",1868,"SA",3
"392",1869,"SA",3
"393",1870,"SA",16
"394",1871,"SA",2
"395",1872,"SA",6
"396",1873,"SA",5
"397",1875,"SA",1
"398",1880,"SA",10
"399",1882,"SA",5
"400",1885,"SA",5
"401",1890,"SA",6
"402",1892,"SA",1
"403",1893,"SA",14
"404",1895,"SA",6
"405",1896,"SA",4
"406",1897,"SA",10
"407",1898,"SA",4
"408",1902,"SA",8
"409",1904,"SA",2
"410",1906,"SA",2
"411",1907,"SA",2
"412",1911,"SA",3
"413",1912,"SA",1
"414",1914,"SA",1
"415",1920,"SA",11
"416",1926,"SA",11
"417",1932,"SA",1
"418",1937,"SA",2
"419",1938,"SA",1
"420",1941,"SA",2
"421",1947,"SA",5
